NAME_1_n,NAME_2_n
NUEVA ESPARTA,GARCIA
NUEVA ESPARTA,GOMEZ
NUEVA ESPARTA,MACANAO
NUEVA ESPARTA,MANEIRO
NUEVA ESPARTA,MARCANO
NUEVA ESPARTA,MARINO
NUEVA ESPARTA,TUBORES
NUEVA ESPARTA,VILLALBA
PORTUGUESA,AGUA BLANCA
PORTUGUESA,MONSENOR JOSE VICENTE DE UND
PORTUGUESA,SAN GENARO DE BOCONOITO
PORTUGUESA,SAN RAFAEL DE ONOTO
PORTUGUESA,SANTA ROSALIA
SUCRE,ANDRES ELOY BLANCO
SUCRE,ANDRES MATA
SUCRE,CRUZ SALMERON ACOSTA
TACHIRA,ANDRES BELLO
TACHIRA,ANTONIO ROMULO COSTA
TACHIRA,FERNANDEZ FEO
TACHIRA,FRANCISCO DE MIRANDA
TACHIRA,GARCIA DE HEVIA
TACHIRA,JOSE MARIA VARGAS
TACHIRA,PEDRO MARIA URENA
TACHIRA,RAFAEL URDANETA
TACHIRA,SAMUEL DARIO MALDONADO
TACHIRA,SAN CRISTOBAL
TACHIRA,SAN JUDAS TADEO
TACHIRA,SIMON RODRIGUEZ
TRUJILLO,ANDRES BELLO
TRUJILLO,JOSE FELIPE MARQUEZ CANIZAL
TRUJILLO,JUAN VICENTE CAMPO ELIAS
TRUJILLO,LA CEIBA
TRUJILLO,MONTE CARMELO
TRUJILLO,RAFAEL RANGEL
TRUJILLO,SAN RAFAEL DE CARVAJAL
YARACUY,ARISTIDES BASTIDAS
YARACUY,JOSE ANTONIO PAEZ
YARACUY,LA TRINIDAD
YARACUY,MANUEL MONGE
YARACUY,SAN FELIPE
ZULIA,ALMIRANTE PADILLA
ZULIA,FRANCISCO JAVIER PULGAR
ZULIA,INDIGENA BOLIVARIANO GUAJIRA
ZULIA,JESUS ENRIQUE LOSSADA
ZULIA,JESUS MARIA SEMPRUM
ZULIA,LA CANADA DE URDANETA
ZULIA,MACHIQUES DE PERIJA
ZULIA,ROSARIO DE PERIJA
ZULIA,SAN FRANCISCO
ZULIA,SANTA RITA
ZULIA,SIMON BOLIVAR
ZULIA,VALMORE RODRIGUEZ
